inning_id,runs,wickets,overs,final_score,checkpoint
1-1,33,1,4,207,5
1-2,43,0,4,172,5
10-1,17,0,4,158,5
10-2,39,1,4,159,5
101-1,34,0,4,197,5
101-2,15,3,4,132,5
102-1,44,1,4,178,5
102-2,20,1,4,153,5
103-1,19,1,4,149,5
104-1,29,0,4,154,5
104-2,45,0,4,158,5
105-1,14,1,4,147,5
106-1,20,1,4,189,5
106-2,40,1,4,188,5
107-1,16,1,4,126,5
107-2,40,0,4,112,5
108-1,35,0,4,175,5
108-2,50,0,4,178,5
109-1,40,0,4,176,5
109-2,38,1,4,179,5
11-1,45,0,4,170,5
110-1,39,0,4,211,5
110-2,40,1,4,201,5
111-1,32,1,4,156,5
111-2,26,1,4,153,5
11138-1,38,0,4,189,5
11138-2,30,1,4,187,5
11139-1,35,2,4,219,5
11139-2,34,1,4,185,5
11140-1,24,1,4,200,5
11140-2,38,0,4,175,5
11141-1,37,0,4,154,5
11141-2,33,1,4,157,5
11142-1,43,2,4,223,5
11142-2,38,1,4,196,5
11143-1,32,0,4,197,5
11143-2,39,1,4,186,5
11144-1,23,1,4,203,5
11144-2,38,0,4,211,5
11145-1,39,0,4,187,5
11145-2,27,0,4,185,5
11146-1,22,1,4,193,5
11146-2,29,1,4,189,5
11147-1,43,0,4,233,5
11147-2,22,3,4,120,5
11148-1,22,2,4,182,5
11148-2,25,3,4,174,5
11149-1,37,2,4,175,5
11149-2,36,1,4,163,5
11150-1,31,0,4,164,5
11150-2,51,0,4,174,5
11151-1,27,1,4,176,5
11151-2,27,2,4,147,5
11152-1,20,1,4,134,5
11152-2,40,0,4,142,5
11153-1,41,0,4,210,5
11153-2,45,1,4,219,5
112-1,27,1,4,174,5
112-2,34,0,4,175,5
113-1,16,0,4,145,5
113-2,23,1,4,146,5
11309-1,30,0,4,165,5
11309-2,20,2,4,142,5
11310-1,22,1,4,142,5
11311-1,27,1,4,154,5
11311-2,41,1,4,164,5
11312-1,23,1,4,150,5
11313-1,26,1,4,158,5
11313-2,24,1,4,152,5
11314-1,20,3,4,114,5
11315-1,20,0,4,204,5
11315-2,29,1,4,210,5
11316-1,54,2,4,158,5
11316-2,15,3,4,164,5
11317-1,30,1,4,183,5
11317-2,45,1,4,183,5
11318-1,41,0,4,191,5
11318-2,33,0,4,192,5
11319-1,26,0,4,180,5
11319-2,44,1,4,175,5
11320-1,34,0,4,170,5
11320-2,36,1,4,164,5
11321-1,31,2,4,164,5
11321-2,30,0,4,121,5
11322-1,24,1,4,179,5
11322-2,50,0,4,179,5
11323-1,21,0,4,190,5
11323-2,45,0,4,180,5
11324-1,16,0,4,139,5
11325-1,33,0,4,174,5
11325-2,38,0,4,136,5
11326-1,27,1,4,219,5
11326-2,29,2,4,219,5
11327-1,32,1,4,171,5
11327-2,49,1,4,168,5
11328-1,42,1,4,168,5
11328-2,35,1,4,177,5
11329-1,50,1,4,164,5
11330-1,25,1,4,165,5
11330-2,23,3,4,172,5
11331-1,25,1,4,196,5
11331-2,37,0,4,194,5
11332-1,32,1,4,179,5
11332-2,16,1,4,185,5
11333-1,43,1,4,213,5
11333-2,51,1,4,190,5
11334-1,29,1,4,185,5
11334-2,36,0,4,182,5
11335-1,26,1,4,159,5
11336-1,34,1,4,169,5
11336-2,35,0,4,167,5
11337-1,43,1,4,193,5
11337-2,46,0,4,176,5
11338-1,31,0,4,241,5
11338-2,22,2,4,204,5
11339-1,65,0,4,232,5
11339-2,37,1,4,174,5
11341-1,7,1,4,186,5
11342-1,36,0,4,170,5
11342-2,41,1,4,165,5
11343-1,22,1,4,186,5
11344-1,25,2,4,124,5
11345-1,44,0,4,179,5
11345-2,38,3,4,187,5
11346-1,30,0,4,172,5
11347-1,29,0,4,143,5
114-1,15,2,4,147,5
114-2,35,1,4,148,5
11412-1,14,2,4,136,5
11412-2,25,2,4,140,5
11413-1,37,1,4,171,5
11413-2,32,0,4,170,5
11414-1,33,1,4,155,5
11414-2,16,0,4,162,5
11415-1,38,0,4,152,5
11415-2,33,1,4,157,5
115-1,29,0,4,192,5
116-1,28,2,4,112,5
117-1,29,0,4,163,5
117-2,27,1,4,164,5
118-1,27,0,4,165,5
118-2,19,2,4,146,5
119-1,14,2,4,133,5
12-1,28,0,4,142,5
12-2,10,4,4,145,5
121-1,12,2,4,101,5
122-1,36,0,4,179,5
123-1,22,1,4,158,5
124-1,47,1,4,184,5
124-2,19,2,4,160,5
125-1,29,2,4,189,5
125-2,44,0,4,180,5
126-1,31,2,4,150,5
126-2,25,1,4,150,5
127-1,39,1,4,168,5
127-2,29,0,4,173,5
128-1,36,0,4,168,5
128-2,23,1,4,156,5
129-1,26,2,4,149,5
129-2,31,1,4,150,5
13-1,35,1,4,171,5
130-1,21,1,4,139,5
130-2,23,2,4,112,5
131-1,38,1,4,165,5
131-2,60,0,4,169,5
132-1,38,0,4,187,5
133-1,31,2,4,143,5
133-2,21,1,4,147,5
134-1,37,1,4,139,5
134-2,32,0,4,143,5
135-1,18,1,4,119,5
135-2,12,2,4,116,5
136-1,26,2,4,148,5
136-2,31,1,4,150,5
137-1,19,2,4,164,5
137-2,18,1,4,126,5
138-1,24,1,4,148,5
138-2,15,2,4,139,5
139-1,27,1,4,145,5
139-2,21,0,4,137,5
14-1,20,1,4,172,5
14-2,32,0,4,155,5
140-1,34,0,4,141,5
140-2,7,3,4,142,5
141-1,28,0,4,163,5
141-2,22,2,4,145,5
142-1,15,0,4,153,5
142-2,35,1,4,154,5
143-1,21,2,4,149,5
143-2,41,1,4,150,5
144-1,34,0,4,178,5
145-1,37,0,4,211,5
145-2,16,2,4,133,5
146-1,42,0,4,154,5
146-2,38,0,4,157,5
147-1,21,1,4,145,5
147-2,20,2,4,126,5
148-1,16,1,4,105,5
15-1,27,0,4,188,5
15-2,26,2,4,137,5
150-1,16,2,4,116,5
150-2,23,0,4,118,5
151-1,31,1,4,168,5
151-2,40,0,4,169,5
152-1,22,1,4,140,5
152-2,23,1,4,141,5
153-1,29,1,4,157,5
153-2,27,1,4,141,5
154-1,16,3,4,123,5
155-1,28,1,4,166,5
155-2,20,2,4,113,5
156-1,17,1,4,173,5
156-2,27,0,4,176,5
157-1,31,2,4,119,5
158-1,26,1,4,173,5
158-2,40,1,4,161,5
159-1,32,1,4,129,5
159-2,29,2,4,132,5
16-1,24,1,4,176,5
16-2,32,1,4,177,5
160-1,27,0,4,145,5
160-2,19,1,4,143,5
161-1,22,2,4,120,5
161-2,35,1,4,123,5
162-1,16,1,4,147,5
162-2,24,2,4,151,5
163-1,25,0,4,160,5
163-2,40,0,4,166,5
